Nombre;Tipo;Estado;Voltaje;Operador;Lat;Lon
Parque Eólico La Rumorosa;Eólica;Baja California;;;32.56655;-116.08329
Cerro Prieto;Solar;Baja California;;Comisión Federal de Electricidad;32.4161;-115.23493
Rumorosa Solar;Solar;Baja California;;Ienova;32.57388;-115.90765
Solar 2525;Solar;Baja California;;;31.43448;-116.51582
Aeropuerto Dos;Subestación;Baja California;230000;;32.66246;-115.42857
CFE;Subestación;Baja California;;Comisión Federal de Electricidad;32.49196;-116.94477
CFE Tijuana I;Subestación;Baja California;;Comisión Federal de Electricidad;32.52848;-117.01388
Centro;Subestación;Baja California;"230000;161000;34500;13800";;32.64495;-115.47733
Cerro Prieto 1;Subestación;Baja California;161000;Comisión Federal de Electricidad;32.39902;-115.23836
Cerro Prieto 2;Subestación;Baja California;230000;Comisión Federal de Electricidad;32.39097;-115.22649
Cerro Prieto 3;Subestación;Baja California;230000;Comisión Federal de Electricidad;32.41159;-115.24524
Cerro Prieto 4;Subestación;Baja California;161000;Comisión Federal de Electricidad;32.40532;-115.21132
Cetys;Subestación;Baja California;"230000;161000";;32.63934;-115.39819
Chapultepec;Subestación;Baja California;"230000;34500";;32.36197;-115.06074
Ciprés;Subestación;Baja California;"230000;115000";;31.77693;-116.5856
El Rubi;Subestación;Baja California;"230000;115000";;32.47595;-117.0722
Gonzáles Ortega;Subestación;Baja California;"161000;34500;13800";;32.57972;-115.33321
Herradura;Subestación;Baja California;"230000;115000";;32.52394;-116.74937
La Rosita;Subestación;Baja California;230000;;32.59688;-115.67649
Lomas;Subestación;Baja California;"230000;115000;69000";CFE;31.87442;-116.56015
Maneadero;Subestación;Baja California;115000;;31.7183;-116.5716
Metropoli;Subestación;Baja California;"230000;115000";;32.44503;-116.87817
Mexicali 2;Subestación;Baja California;"230000;161000";;32.60501;-115.45929
Mexicali Oriente;Subestación;Baja California;"161000;34500;13800";Comisión Federal de Electricidad;32.65421;-115.35721
Nacozari;Subestación;Baja California;"161000;13800";;32.64008;-115.45436
Ruiz Cortinez;Subestación;Baja California;"230000;161000";Comisión Federal de Electricidad;32.50099;-114.83754
Rumurosa;Subestación;Baja California;"230000;69000";;32.56843;-115.93938
Río Nuevo;Subestación;Baja California;"161000;13800";;32.66105;-115.49588
San Vicente;Subestación;Baja California;115000;;31.32413;-116.24885
Santa Isabel;Subestación;Baja California;"230000;161000";;32.63206;-115.56903
Skyworks;Subestación;Baja California;161000;;32.63458;-115.41833
Subestacion 20 de Noviembre;Subestación;Baja California;;Comisión Federal de Electricidad;32.51502;-116.99393
Subestacion CFE Cuahutemoc Sur;Subestación;Baja California;;;32.65951;-115.43713
Subestación 1106;Subestación;Baja California;69000;;32.65102;-115.66742
Subestación 1264;Subestación;Baja California;;;32.52548;-116.96336
Subestación 1273;Subestación;Baja California;;;32.50407;-116.92827
Subestación 1308;Subestación;Baja California;"230000;115000";CFE;32.44708;-116.98465
Subestación 1440;Subestación;Baja California;230000;;32.64731;-115.54112
Subestación 1842;Subestación;Baja California;;;32.6213;-115.3959
Subestación 1844;Subestación;Baja California;;;32.6213;-115.39578
Subestación 1848;Subestación;Baja California;;;32.62145;-115.39673
Subestación 186;Subestación;Baja California;;;32.5359;-116.9231
Subestación 188;Subestación;Baja California;;;32.5038;-116.92688
Subestación 2061;Subestación;Baja California;;;32.57145;-115.91517
Subestación 2436;Subestación;Baja California;;;32.45417;-116.98768
Subestación 2439;Subestación;Baja California;;;32.45703;-116.98842
Subestación 2457;Subestación;Baja California;230000;;32.60136;-115.62932
Subestación 2470;Subestación;Baja California;69000;;32.61458;-115.88378
Subestación 2472;Subestación;Baja California;230000;;32.59706;-115.63008
Subestación 2478;Subestación;Baja California;;;32.62914;-115.52958
Subestación 2487;Subestación;Baja California;69000;;32.64839;-115.6918
Subestación 2489;Subestación;Baja California;230000;;32.60021;-115.66268
Subestación 2604;Subestación;Baja California;115000;;31.02782;-114.84794
Subestación 2831;Subestación;Baja California;115000;;32.29522;-117.03737
Subestación 2927;Subestación;Baja California;230000;;32.58825;-115.42161
Subestación 3110;Subestación;Baja California;;;32.59532;-115.94582
Subestación 3112;Subestación;Baja California;;;32.52148;-116.69308
Subestación 3116;Subestación;Baja California;69000;;32.59193;-116.00464
Subestación 3117;Subestación;Baja California;69000;;32.58523;-116.01532
Subestación 3436;Subestación;Baja California;115000;Comisión Federal de Electricidad;32.45284;-116.85723
Subestación 3524;Subestación;Baja California;;;32.44512;-116.90687
Subestación 358;Subestación;Baja California;115000;;32.51169;-117.0956
Subestación 3687;Subestación;Baja California;;;32.38655;-117.04578
Subestación 3688;Subestación;Baja California;;;32.38823;-117.04709
Subestación 3691;Subestación;Baja California;;;32.3821;-117.04313
Subestación 3698;Subestación;Baja California;;;32.42346;-116.89359
Subestación 3826;Subestación;Baja California;230000;;32.59895;-116.07542
Subestación 3866;Subestación;Baja California;;;32.62079;-115.3953
Subestación 3967;Subestación;Baja California;69000;;31.91101;-116.2662
Subestación 4009;Subestación;Baja California;115000;;31.59508;-115.09424
Subestación 4010;Subestación;Baja California;115000;;31.58635;-115.12222
Subestación 4013;Subestación;Baja California;115000;;31.28497;-115.24504
Subestación 4016;Subestación;Baja California;115000;;31.29257;-115.41149
Subestación 4017;Subestación;Baja California;115000;;31.29267;-115.41225
Subestación 4077;Subestación;Baja California;230000;;32.56869;-115.41483
Subestación 4083;Subestación;Baja California;230000;;32.58463;-115.40946
Subestación 4113;Subestación;Baja California;115000;;32.47768;-117.10914
Subestación 4297;Subestación;Baja California;;;28.05675;-115.19031
Subestación 4594;Subestación;Baja California;230000;;32.45066;-116.86344
Subestación 4621;Subestación;Baja California;230000;;32.50323;-116.71652
Subestación 4856;Subestación;Baja California;;;32.54889;-116.90975
Subestación 4859;Subestación;Baja California;;;32.53799;-116.91468
Subestación 507;Subestación;Baja California;115000;;30.49975;-115.92225
Subestación 5133;Subestación;Baja California;161000;;32.56569;-115.28953
Subestación 5135;Subestación;Baja California;161000;;32.57071;-115.28805
Subestación 5145;Subestación;Baja California;;;32.54434;-116.76285
Subestación 5329;Subestación;Baja California;115000;;32.24717;-116.93505
Subestación 5338;Subestación;Baja California;115000;;32.47257;-116.78373
Subestación 5375;Subestación;Baja California;115000;;32.47341;-116.85863
Subestación 5385;Subestación;Baja California;;;32.65562;-115.40845
Subestación 5397;Subestación;Baja California;230000;;32.59612;-115.42375
Subestación 5481;Subestación;Baja California;115000;;32.4629;-116.98537
Subestación 5482;Subestación;Baja California;115000;;32.45578;-116.97714
Subestación 5582;Subestación;Baja California;;;32.43362;-116.67432
Subestación 5603;Subestación;Baja California;69000;;32.23227;-116.52093
Subestación 5604;Subestación;Baja California;69000;;32.41121;-116.74168
Subestación 5608;Subestación;Baja California;69000;;32.0792;-116.58016
Subestación 5744;Subestación;Baja California;115000;;32.47341;-116.85866
Subestación 5783;Subestación;Baja California;115000;;32.44468;-116.98402
Subestación 5797;Subestación;Baja California;115000;;32.455;-116.97877
Subestación 5821;Subestación;Baja California;;;32.57496;-116.6434
Subestación 5888;Subestación;Baja California;;;32.62054;-115.39684
Subestación 5889;Subestación;Baja California;;;32.61989;-115.39846
Subestación 5890;Subestación;Baja California;;;32.61976;-115.39661
Subestación 5891;Subestación;Baja California;;;32.62094;-115.39863
Subestación 590;Subestación;Baja California;230000;;32.5569;-116.54384
Subestación 6291;Subestación;Baja California;;;32.58978;-115.40981
Subestación 6294;Subestación;Baja California;230000;;32.59049;-115.41255
Subestación 6297;Subestación;Baja California;115000;CFE;31.87934;-116.61517
Subestación 6319;Subestación;Baja California;115000;;32.44885;-116.98221
Subestación 6659;Subestación;Baja California;;;32.37835;-117.03742
Subestación 6801;Subestación;Baja California;;;31.99377;-116.84945
Subestación 6848;Subestación;Baja California;115000;;31.87559;-116.60543
Subestación 6853;Subestación;Baja California;115000;;31.90648;-116.70295
Subestación 6855;Subestación;Baja California;115000;;31.85312;-116.59261
Subestación 6859;Subestación;Baja California;115000;;31.84673;-116.58304
Subestación 6860;Subestación;Baja California;115000;;31.84713;-116.58283
Subestación 7013;Subestación;Baja California;;;32.56513;-115.28696
Subestación 7017;Subestación;Baja California;;;32.6484;-115.35768
Subestación 7039;Subestación;Baja California;115000;;32.54928;-116.91627
Subestación 7277;Subestación;Baja California;115000;;31.22326;-116.1617
Subestación 7300;Subestación;Baja California;115000;;32.54185;-116.62772
Subestación 7301;Subestación;Baja California;;;32.47795;-116.79867
Subestación 7388;Subestación;Baja California;;;31.86934;-116.66728
Subestación 7530;Subestación;Baja California;115000;;32.48731;-116.84115
Subestación 7550;Subestación;Baja California;230000;;32.59786;-115.37166
Subestación 765;Subestación;Baja California;230000;;32.56941;-115.48635
Subestación 775;Subestación;Baja California;115000;;32.10028;-116.87457
Subestación 7774;Subestación;Baja California;230000;;31.99464;-116.8484
Subestación 7836;Subestación;Baja California;115000;;31.52072;-116.62364
Subestación 7911;Subestación;Baja California;115000;;32.09857;-116.80968
Subestación 8017;Subestación;Baja California;115000;;32.02395;-116.86099
Subestación 8154;Subestación;Baja California;115000;CFE;32.42707;-116.94114
Subestación 871;Subestación;Baja California;;CFE;32.52177;-116.9499
Subestación 8754;Subestación;Baja California;115000;Comisión Federal de Electricidad;32.57104;-116.63562
Subestación 8778;Subestación;Baja California;115000;;32.44532;-116.86592
Subestación 8865;Subestación;Baja California;115000;;32.44587;-116.99192
Subestación 8989;Subestación;Baja California;;;32.6251;-115.44684
Subestación 904;Subestación;Baja California;;;32.53643;-117.03636
Subestación Cucapáh;Subestación;Baja California;"400000;230000";Comisión Federal de Electricidad;32.53352;-115.51138
Subestación Presidente Juárez;Subestación;Baja California;"230000;115000";;32.36965;-117.06649
Subestación San Quintin;Subestación;Baja California;115000;;30.71544;-115.98731
